Incident_ID,Month,Day,Year,Date,School,Victims_Killed,Victims_Wounded,Number_Victims,Shooter_Killed,Quarter,City,State,School_Level,Location,Location_Type,During_Classes,Duration_min,Situation,Targets,Shots_Fired
20180313VAGEA,3,13,2018,13-03-18,George Washington Middle School,0,0,0,0,Spring,Alexandria,VA,Middle,Office,Inside School Building,Yes,1,Accidental,Neither,1
20180313CASES,3,13,2018,13-03-18,Seaside High School,0,1,1,0,Spring,Seaside,CA,High,Classroom,Inside School Building,Yes,1,Accidental,Random Shooting,1
20180309KYFRL,3,9,2018,09-03-18,Frederick Douglass High School,0,0,0,0,Spring,Lexington,KY,High,Classroom,Inside School Building,Yes,1,Accidental,Random Shooting,1
20180307ALHUB,3,7,2018,07-03-18,Huffman High School,1,0,1,0,Spring,Birmingham,AL,High,Inside School Building,Inside School Building,Yes,1,Accidental,Random Shooting,
20180305MOKIC,3,5,2018,05-03-18,Kingston High School,0,0,0,1,Spring,Cadet,MO,K-12,Classroom,Inside School Building,Yes,1,Suicide/Attempted,Victims Targeted,1
20180228GADAD,2,28,2018,28-02-18,Dalton High School,0,0,0,0,Winter,Dalton,GA,High,Classroom,Inside School Building,Yes,,Psychosis,Neither,1
20180226WAOAT,2,26,2018,26-02-18,Oakland High School,0,0,0,0,Winter,Tacoma,WA,High,Bathroom,Inside School Building,Yes,1,Accidental,Neither,1
20180220OHJAM,2,20,2018,20-02-18,Jackson Memorial Middle School,0,0,0,1,Winter,Massillon,OH,Middle,Bathroom,Inside School Building,Yes,1,Indiscriminate Shooting,Victims Targeted,1
20180215FLNOC,2,15,2018,15-02-18,North Broward Preparatory School,0,0,0,0,Winter,Coconut Creek,FL,K-12,Hallway,Inside School Building,Yes,1,Accidental,Random Shooting,1
20180214FLMAP,2,14,2018,14-02-18,Marjory Stoneman Douglas High School,17,17,34,0,Winter,Parkland,FL,High,Hallway,Inside School Building,Yes,7,Indiscriminate Shooting,Random Shooting,139
20180209TNPEN,2,9,2018,09-02-18,Peal-Cohn High School,0,1,1,0,Winter,Nashville,TN,High,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,Victims Targeted,5
20180208NYTHN,2,8,2018,08-02-18,The Metropolitan High School,0,0,0,0,Winter,New York,NY,High,Classroom,Inside School Building,Yes,1,Accidental,,1
20180205MNHAM,2,5,2018,05-02-18,Harmony Learning Center,0,0,0,0,Winter,Maplewood,MN,Elementary,Front of School,Outside on School Property,Yes,1,Accidental,Neither,1
20180205MDOXO,2,5,2018,05-02-18,Oxon Hill High School,0,1,1,0,Winter,Oxon Hill,MD,High,Parking Lot,Outside on School Property,No,1,Illegal Activity,Victims Targeted,1
20180201CASAL,2,1,2018,01-02-18,Salvador B. Castro Middle School,0,2,2,0,Winter,Los Angeles,CA,Middle,Classroom,Inside School Building,Yes,1,Accidental,Random Shooting,1
20180131PALIP,1,31,2018,31-01-18,Lincoln High School,1,0,1,0,Winter,Philadelphia,PA,High,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,Random Shooting,
20180126MIDED,1,26,2018,26-01-18,Dearborn High School,0,0,0,0,Winter,Dearborn,MI,High,Parking Lot,Outside on School Property,No,1,Escalation of Dispute,,
20180125ALMUM,1,25,2018,25-01-18,Murphy High School,0,0,0,0,Winter,Mobile,AL,High,Beside Building,Outside on School Property,Yes,1,Escalation of Dispute,Victims Targeted,
20180123KYMAB,1,23,2018,23-01-18,Marshall County High School,2,18,20,0,Winter,Benton,KY,High,Hallway,Inside School Building,Yes,3,Indiscriminate Shooting,Random Shooting,
