Incident_ID;Month;Day;Year;Date;School;Victims_Killed;Victims_Wounded;Number_Victims;Shooter_Killed;Quarter;City;State;School_Level;Location;Location_Type;During_Classes;Duration_min;Situation;Targets;Shots_Fired
20240326GATUA;3;26;2024;26-03-2024;Turner County High School;0;0;0;0;Spring;Ashburn;GA;High;Basketball Court;Outside on School Property;;;;;
20240326MOCHC;3;26;2024;26-03-2024;Charleston Junior Senior High School;0;0;0;0;Spring;Charleston;MO;High;Football Field/Track;Outside on School Property;Yes;1;Escalation of Dispute;Victims Targeted;1
20240326NJWEN;3;26;2024;26-03-2024;West Side High School;0;2;2;0;Spring;Newark;NJ;High;Front of School;Outside on School Property;Yes;1;;;99
20240325HIWAW;3;25;2024;25-03-2024;Wailuku Elementary School;0;1;1;0;Spring;Wailuku;HI;Elementary;Parking Lot;Outside on School Property;No;1;Escalation of Dispute;;1
20240321NJMAN;3;21;2024;21-03-2024;Malcolm X Shabazz High School;1;0;1;0;Spring;Newark;NJ;High;Football Field/Track;Outside on School Property;No;1;;Victims Targeted;99
20240321CADIP;3;21;2024;21-03-2024;Diamond Ranch High School;0;0;0;0;Spring;Pomona;CA;High;Front of School;Outside on School Property;Yes;1;Escalation of Dispute;Neither;0
20240320NCPEP;3;20;2024;20-03-2024;Pembroke Elementary School;0;0;0;0;Spring;Pembroke;NC;Elementary;Office;Inside School Building;Yes;1;Domestic w/ Targeted Victim;Victims Targeted;0
20240320CONOD;3;20;2024;20-03-2024;North High School;0;0;0;0;Spring;Denver;CO;High;Parking Lot;Outside on School Property;Yes;1;Drive-by Shooting;Random Shooting;99
20240320OHBOC;3;20;2024;20-03-2024;Bolton Elementary School;0;1;1;0;Spring;Cleveland;OH;Elementary;Parking Lot;Outside on School Property;Yes;1;Escalation of Dispute;Victims Targeted;20
20240320ILBUC;3;20;2024;20-03-2024;Burnside Scholastic Academy;1;0;1;0;Spring;Chicago;IL;Elementary;Front of School;Off School Property;Yes;1;Drive-by Shooting;Victims Targeted;99
20240319DETHW;3;19;2024;19-03-2024;Thomas Edison Charter School;0;1;1;0;Spring;Wilmington;DE;High;Office;Off School Property;Yes;1;;Victims Targeted;99
20240316TNKEC;3;16;2024;16-03-2024;Kenwood Elementary School;0;1;1;0;Spring;Clarksville;TN;Elementary;Basketball Court;Outside on School Property;No;1;;Both;99
20240314OHLOD;3;14;2024;14-03-2024;Louise Troy Elementary School;2;0;2;0;Spring;Dayton;OH;Elementary;Field (General);Outside on School Property;No;1;Escalation of Dispute;Victims Targeted;99
20240313MDFOG;3;13;2024;13-03-2024;Fox Chapel Elementary School;0;0;0;0;Spring;Germantown;MD;Elementary;Field (General);Outside on School Property;Yes;1;Escalation of Dispute;Victims Targeted;99
20240313WAGAS;3;13;2024;13-03-2024;Garfield High School;0;1;1;0;Spring;Seattle;WA;High;Front of School;Outside on School Property;Yes;1;Drive-by Shooting;;99
20240313MDWIB;3;13;2024;13-03-2024;Windsor Hills Elementary/Middle School;1;0;1;0;Spring;Baltimore;MD;K-8;Playground;Outside on School Property;Yes;1;;Victims Targeted;99
20240311TXCHT;3;11;2024;11-03-2024;Charter Oak Elementary;1;0;1;0;Spring;Temple;TX;Elementary;Playground;Outside on School Property;No;1;Accidental;Neither;1
20240311MASPS;3;11;2024;11-03-2024;Springfield High School of Science and Technology;0;0;0;0;Spring;Springfield;MA;High;Hallway;Inside School Building;Yes;1;Escalation of Dispute;Victims Targeted;99
20240307NYPSB;3;7;2024;07-03-2024;PS 157 Grove Hill;1;0;1;0;Spring;Bronx;NY;Elementary;Playground;Outside on School Property;No;1;Escalation of Dispute;Victims Targeted;99
20240305INHAL;3;5;2024;05-03-2024;Harrison Hill Elementary School;0;1;1;0;Spring;Lawrence;IN;Elementary;Beside Building;Outside on School Property;No;1;Escalation of Dispute;Victims Targeted;1
20240304TNBRB;3;4;2024;04-03-2024;Brighton High School;0;1;1;0;Spring;Brighton;TN;High;Parking Lot;Outside on School Property;Yes;1;Illegal Activity;Victims Targeted;0
20240302INROR;3;2;2024;02-03-2024;Rochester Community High School;0;0;0;0;Spring;Rochester;IN;High;Gym;Inside School Building;No;1;Accidental;Neither;1
20240302MONOK;3;2;2024;02-03-2024;North Kansas City High School;0;2;2;0;Spring;Kansas City;MO;High;Beside Building;Outside on School Property;No;1;Escalation of Dispute;Both;50
20240301LACAC;3;1;2024;01-03-2024;Carencro High School;1;0;1;0;Spring;Carencro;LA;High;School Bus;School Bus;Yes;1;Murder/Assassination;Victims Targeted;99
20240229FLFIJ;2;29;2024;29-02-2024;First Coast High School;0;0;0;0;Winter;Jacksonville;FL;High;Parking Lot;Outside on School Property;No;1;Escalation of Dispute;Victims Targeted;1
20240228NCWAG;2;28;2024;28-02-2024;Wahl-Coates Elementary School;0;1;1;0;Winter;Greenville;NC;Elementary;Front of School;Outside on School Property;Yes;1;;Victims Targeted;5
20240228MEWAW;2;28;2024;28-02-2024;Waterville Junior High School;0;0;0;1;Winter;Waterville;ME;Middle;Parking Lot (Bus);Outside on School Property;No;1;Suicide/Attempted;Victims Targeted;1
20240227DESUG;2;27;2024;27-02-2024;Sussex Central High;0;0;0;0;Winter;Georgetown;DE;High;Parking Lot;Outside on School Property;No;1;Escalation of Dispute;;99
20240226TXODO;2;26;2024;26-02-2024;Odessa High School;0;1;1;0;Winter;Odessa;TX;High;Parking Lot;Outside on School Property;Yes;1;Escalation of Dispute;Both;99
20240223WVBLB;2;23;2024;23-02-2024;Bluefield High School;0;0;0;0;Winter;Bluefield;WV;High;Parking Lot;Off School Property;No;1;Escalation of Dispute;;99
20240221TXTRA;2;21;2024;21-02-2024;Travis Middle School;0;0;0;0;Winter;Amarillo;TX;Middle;Bathroom;Inside School Building;Yes;1;;Victims Targeted;0
20240221CODED;2;21;2024;21-02-2024;Denver Prep Academy;0;0;0;0;Winter;Denver;CO;High;Front of School;Outside on School Property;Yes;1;Drive-by Shooting;;99
20240221TXECE;2;21;2024;21-02-2024;Economedes High School ;0;0;0;0;Winter;Economedes;TX;High;Parking Lot;Outside on School Property;Yes;1;Officer-Involved Shooting;Victims Targeted;99
20240221AZCAT;2;21;2024;21-02-2024;Catalina Magnet High School;0;1;1;0;Winter;Tucson;AZ;High;Front of School;Outside on School Property;Yes;1;;Victims Targeted;
20240220ALPEP;2;20;2024;20-02-2024;Pell City High School;0;1;1;0;Winter;Pell City;AL;High;Outside on School Property;Outside on School Property;Yes;1;;Victims Targeted;0
20240220MISAS;2;20;2024;20-02-2024;Saginaw High School;0;0;0;0;Winter;Saginaw;MI;High;Parking Lot;Outside on School Property;Yes;1;Escalation of Dispute;Victims Targeted;1
20240219TXPIM;2;19;2024;19-02-2024;Pioneer Technology and Arts Academy;0;0;0;0;Winter;Mesquite;TX;06-dic;Office;Inside School Building;Yes;6;Anger Over Grade/Suspension/Discipline;Victims Targeted;0
20240215FLSHC;2;15;2024;15-02-2024;Shadeville Elementary School;0;1;1;0;Winter;Crawfordville;FL;Elementary;School Bus;School Bus;Yes;1;Intentional Property Damage;;99
20240214GABEA;2;14;2024;14-02-2024;Benjamin E. Mays High School;0;4;4;0;Winter;Atlanta;GA;High;Parking Lot;Outside on School Property;Yes;1;Drive-by Shooting;Victims Targeted;99
