"Incident_ID","Date","School","City","State","Summary","Targets"
"20211001NCNOD","2021-10-01","Northern High School","Durham","NC","Vehicle drove onto grass near stadium and fired 10-15 shots as crowd was exiting","Random Shooting"
"20211001INBEI","2021-10-01","Ben Davis High School","Indianapolis","IN","Teen shot by another teen at the stadium gate during a football game","Victims Targeted"
"20210930TNCUM","2021-09-30","Cummings Elementary School","Memphis","TN","Student shot student in the stairwell then fled in vehicle","Victims Targeted"
"20210930MSNEN","2021-09-30","Newton Elementary School","Newton","MS","1st grader shot when gun inside backpack discharged","Random Shooting"
"20210929OHSHS","2021-09-29","Shaker Heights Middle School","Shaker Heights","OH","Shot fired in school parking lot during football game","Neither"
"20210928MESOS","2021-09-28","South Portland High School","South Portland","ME","Teen shot in school parking lot","Victims Targeted"
"20210927ILCAC","2021-09-27","Canterbury Elementary School","Crystal Lake","IL","Police called for student with gun on the playground, arrested student with BB gun","null"
"20210924VAESE","2021-09-24","Essex High School","Essex","VA","Shots fired near ticket booth and softball field during football game","Neither"
"20210924TNSTS","2021-09-24","Stewarts Creek High School","Smyrna","FL","Teen fired shots into the air during a fight in the parking lot during a football game","Neither"
"20210924MDWIB","2021-09-24","Wildwood Elementary/Middle School","Baltimore","MD","Teen shot outside of school","Victims Targeted"
"20210924ALFAF","2021-09-24","Fairfield High Preparatory School","Fairfield","AL","Shots fired at visiting fans in the parking lot","Random Shooting"
"20210923IDRIR","2021-09-23","Rigby Middle School","Rigby","ID","Emotionally distressed student with a gun in the bathroom detained by SRO","Victims Targeted"
"20210922NYSOB","2021-09-22","South Shore High School","Brooklyn","NY","Teen shot outside school, ran inside for help","null"
"20210922CTLIN","2021-09-22","Lincoln-Bassett Community School","New Haven","CT","Shots fired while students were outside for recess","Neither"
"20210921PAVAP","2021-09-21","Vaux Big Picture High School","Philadelphia","PA","Student shot in front of school during dismissal","Victims Targeted"
"20210921OHMIM","2021-09-21","Middletown Preparatory and Fitness Academy","Middletown","OH","Occupied school bus shot by multiple BBs","Neither"
"20210921KSEAW","2021-09-21","East High School","Wichita","KS","Three students shot outside school during lunch","Both"
"20210921GAFRA","2021-09-21","Fred A. Toomer Elementary School","Atlanta","GA","Shots fired during argument between parents","Victims Targeted"
"20210921FLLAL","2021-09-21","Lake Asbury Elementary School","Lake Asbury","FL","Windows of two occupied school buses broken by BBs","Neither"
"20210920VAHEN","2021-09-20","Heritage High School","Newport News","VA","Student shot two other students during fight in hallway then fled","Both"
"20210920OHEAC","2021-09-20","Eastside Arts Academy","Cleveland","OH","Three teens shot on the school playground","null"
"20210918COWIC","2021-09-18","Widefield High School","Colorado Springs","CO","2 teens and 1 adult shot in the parking lot at the end of a football game","Both"
"20210917VAHEH","2021-09-17","Hermitage High School","Henrico","VA","Shots fired during a fight in the parking lot following football game","Neither"
"20210917TNAUK","2021-09-17","Austin-East High School","Knoxville","TN","Teen shot outside football stadium, field cleared","null"
"20210917PAWEP","2021-09-17","West Philadelphia High School","Philadelphia","PA","20 shots fired during football game, teens involved ran across the field","null"
"20210917NCPAW","2021-09-17","Parkland High School","Winston-Salem","NC","Shots fired toward the school building during a fight between 30 teens","Random Shooting"
"20210917GASWS","2021-09-17","Swainsboro High School","Swainsboro","GA","Shots fired in the stands of the football stadium during a fight","Neither"
"20210916WIORM","2021-09-16","Orchard Ridge Elementary School","Madison","WI","Shot fired near school, police found shell casings","null"
"20210916UTPRP","2021-09-16","Provo High School","Provo","UT","Student brandished handgun during fight in the hallway","Victims Targeted"
"20210916OHBEC","2021-09-16","Beechcroft High School","Columbus","OH","Seven shots fired when fans were leaving the football game","Neither"
"20210915VASPS","2021-09-15","Springfield Estates Elementary","Springfield","VA","Student used stungun on 3 classmates in the school","null"
"20210915KYMAL","2021-09-15","Mary Todd Elementary School","Lexington","KY","Man shot and ran to elementary school for assistance","Victims Targeted"
"20210915ILCEC","2021-09-15","Centennial High School","Champaign","IL","Shots fired outside of school, no injuries","null"
"20210914TNLAL","2021-09-14","La Vergne High School","La Vergne","TN","Teen fired 3 shots in the parking lot during dismissal","Random Shooting"
"20210914MOMCH","2021-09-14","McNair Elementary School","Hazelwood","MO","Two parents brandished handguns during an argument in the drop-off line","Victims Targeted"
"20210913SCEDC","2021-09-13","Edwards Elementary School","Chesterfield County","SC","Woman shot her adult son-in-law during a domestic dispute in the parking lot","Victims Targeted"
"20210910CONOA","2021-09-10","North Area Athletic Complex","Arvada","CO","Shots fired in the parking lot during high school football game","Victims Targeted"
"20210910CASTP","2021-09-10","Stratford School","Palo Alto","CA","Man shot air rifle at a random student on the playground","Random Shooting"
"20210909NCSHE","2021-09-09","Sheep-Harney Elementary School","Elizabeth City","NC","Multiple windows of the school were shot and broken","Random Shooting"
"20210909MITRF","2021-09-09","Tri-County Education Center","Ferndale","MI","Teen fired shot into the ground during a fight in the parking lot","Neither"
"20210909ILCHC","2021-09-09","Champaign School Bus","Champaign","IL","Occupied school bus was struck by bullet during drive-by","Both"
"20210908MNPRB","2021-09-09","Prairie Seeds Academy","Brooklyn Park","MN","Multiple people shooting, bullets struck the school building","Both"
"20210908ILCEC","2021-09-08","Centennial High School","Champaign","IL","Student pulled gun during fight in hallway then fled the school","Victims Targeted"
"20210907TNLAL","2021-09-07","La Vergne High School","La Vergne","TN","Teen fired shots in parking lot during dismissal","Random Shooting"
"20210907PAHAH","2021-09-07","Harrisburg High School","Harrisburg","PA","Shots fired during fight in the parking lot","Neither"
"20210907MAOMG","2021-09-07","O’Maley Innovation Middle School","Gloucester","MA","Teens damaged 46 cars, 7 businesses, and broke 10 windows on a school bus during BB gun shooting spree","Random Shooting"
"20210903NVDEL","2021-09-03","Desert Oasis High School","Las Vegas","NV","Shots fired into air during fight following football game","Neither"
"20210903NCJUC","2021-09-03","Julius Chambers High School","Charlotte","NC","Multiple shots fired near stadium gate following football game","Neither"
"20210903CAMTH","2021-09-03","Mt. Eden High School","Hayward","CA","Teen fired shots a vehicle on campus, fled, and then attempted to re-enter school with handgun","Victims Targeted"
"20210903CABUB","2021-09-03","Buena Park School District Bus","Buena Park","CA","Man fired shot at occupied school bus, attempting to kill wife (bus driver)","Victims Targeted"
"20210902NMALA","2021-09-02","Albuquerque Christ Lutheran Church and School","Albuquerque","NM","Student fired shots at vehicle in the parking lot","Victims Targeted"
"20210902INWEG","2021-09-02","West Side Leadership Academy","Gary","IN","Student shot getting off school bus","Victims Targeted"
"20210902GAWOS","2021-09-02","Woodland High School","Stockbridge","GA","Man outside of school waving gun, school locked down","Neither"
"20210902CASAL","2021-09-02","Santee High School","Los Angeles","CA","Two students shot during fight on football field","Both"
"20210902CASAL","2021-09-02","Santee High School","Los Angeles","CA","Fight between students escalated into shooting","Victims Targeted"
"20210902ARLIL","2021-09-02","Little Rock Central High School","Little Rock","AR","Parent of student brandished gun during fight in front of school","Neither"
"20210901NCMTW","2021-09-01","Mt. Tabor High School","Winston-Salem","NC","Student shot another student inside the school and fled the area","Victims Targeted"
"20210901ILFRC","2021-09-01","Frazier International Magnet School","Chicago","IL","Adult man fatally shot in front of the school","Victims Targeted"
"20210830NJWEN","2021-08-30","West Side High School","Newark","NJ","Teen fatally shot leaving night program at the school","Victims Targeted"
"20210830NCNEW","2021-08-30","New Hanover High School","Wilmington","NC","Student shot during large fight in hallway","Victims Targeted"
"20210830MDNEO","2021-08-30","New Town High School","Owings Mills","MD","Adult male fired shots during fight outside the school","Neither"
"20210830FLOKW","2021-08-30","Okeeheelee Middle School","West Palm Beach","FL","Female student shot in the neck with a pellet gun on the school bus","null"
"20210828CASAS","2021-08-28","Santa Maria High School","Santa Maria","CA","Police called for shots fired at football game, police recovered gun","null"
"20210827VTEDB","2021-08-27","Edmunds Middle School","Burlington","VT","Bullet hole found in school window, classes cancelled at 2 schools","Neither"
"20210827VAFRW","2021-08-27","Freedom High School","Woodbridge","VA","Teen fired shots into the crowd following football game","Both"
"20210827PAACS","2021-08-27","Academy Park High School","Sharon Hill","PA","Three officers fired into crowd following football game","Random Shooting"
"20210827KYAPO","2021-08-27","Apollo High School","Owensboro","KY","Man shot during fight following football game","Victims Targeted"
"20210827INHAH","2021-08-27","Hammond Central High School","Hammond","IN","Two student shot beside the school building ","Both"
"20210826WAAKS","2021-08-26","Aki Kurose Middle School","Seattle","WA","Teen was sitting on front steps of school when he was shot multiple times by another teen","Victims Targeted"
"20210826OHNOT","2021-08-26","Northpointe Academy Elementary School","Toledo","OH","Coach fired shots into the air during fight at football game","Neither"
"20210826NYHAH","2021-08-26","Hauppauge Middle School","Hauppauge","NY","Man fired shots during dispute, then fired at security officer","Both"
"20210822ILWER","2021-08-22","West Middle School","Rockford","IL","Teen shot during fight in the school parking lot","Victims Targeted"
"20210820NEMIO","2021-08-20","Miller Park Elementary","Omaha","NE","Two adults shot in front of elementary school","Victims Targeted"
"20210820CACEF","2021-08-20","Central High-Bullard High","Fresno","CA","Teen shot multiple times in the parking lot following football game","Victims Targeted"
"20210818SCORO","2021-08-18","Orangeburg-Wilkinson High School","Orangeburg","SC","Teen shot 3 students in school parking lot during dismissal","Both"
"20210817COYED","2021-08-17","Yeshiva Toras Chaim High School","Denver","CO","Student fatally shot during robbery in front of school","Victims Targeted"
"20210815VAROD","2021-08-15","Rosa Park Elementary School","Dale City","VA","Shots fired in school parking lot during fight between a group of people","Neither"
"20210814SCDAH","2021-08-14","Darlington County School District Buses","Hartsville","SC","Windows of 6 school buses shot with BBs","Neither"
"20210814ILMAC","2021-08-14","Mary E. McDowell Elementary School","Chicago","IL","Teen shot during drive-by outside elementary school","Victims Targeted"
"20210813NMWAA","2021-08-13","Washington Middle School","Albuquerque","NM","Student shot another student during recess following a prior dispute","Victims Targeted"
"20210813GACAS","2021-08-13","Campbell High SChool","Smyrna","GA","Shots fired during fight following high school football game","Neither"
"20210812GALIL","2021-08-12","Lithonia High School","Lithonia","GA","SRO attempted to stop 2 men, they fled in vehicle, and SRO fired shots at the vehicle","null"
"20210812CANOS","2021-08-12","North Mountain Middle School","San Jacinto","CA","Student fired shot in the school bathroom","Neither"
"20210811COMAC","2021-08-11","Mark Twain Elementary School","Colorado Springs","CO","Man shot outside of the school","null"
"20210811CAOAO","2021-08-11","Oakland Tech High School","Oakland","CA","Shots fired outside of the school during dismissal","null"
"20210810OHEAC","2021-08-10","East Linden Elementary School","Columbus","OH","Group of teens was playing with gun, one shot was fired striking a teen","Random Shooting"
"20210807ORGIP","2021-08-07","Gilbert Heights Elementary School","Portland","OR","Man found fatally shot in school parking lot","null"
"20210806LASTH","2021-08-06","St. Francis de Sales school","Houma","LA","Woman shot inside her car in pick-up line during attempted robbery","Random Shooting"
"20210805GACHD","2021-08-05","Chapel Hill Middle School","Douglasville","GA","Teacher set fired to school office and fired shots, placed on admin leave day prior","Neither"
"20210804ALBUM","2021-08-04","Burns Middle School","Mobile","AL","Two teens shot in school parking lot","null"
"20210727WATYS","2021-07-27","Tyee High School","SeaTac","WA","Adult man fatally shot on school basketball court","null"
"20210721ILTHC","2021-07-21","Theodore Herzl Elementary School","Chicago","IL","5 people shot outside of elementary school","null"
"20210719TXCAC","2021-07-19","Caldwell High School","Caldwell","TX","Teen in a vehicle fired ""hydroball"" gun at students in the parking lot","Random Shooting"
"20210718ARFOL","2021-07-18","Forest Park Elementary","Little Rock","AL","Shots fired on school basketball court","null"
"20210709KSCAW","2021-07-09","Campus High School","Wichita","KS","Following police chase, vehicle crashed and caught fire on the field in front of the high school, driver fired shots at officers","Random Shooting"
"20210708ILBEC","2021-07-08","Benito Juarez Community Academy","Chicago","IL","Teen student bystander struck during shooting resulting from fight between 2 adult women","Both"
"20210704NYDRR","2021-07-04","Dr. Louis A. Cerulli School No. 34","Rochester","NY","Teen sitting in vehicle shot during drive-by in school parking lot","null"
"20210628CASLF","2021-06-28","Slater Elementary School","Fresno","CA","Shot fired at vehicle that crashed through fence onto school property","Victims Targeted"
"20210624ILABR","2021-06-24","Abraham Lincoln Middle School","Rockford","IL","Man shot while driving, crashed his vehicle on the front lawn of the school","null"
"20210620CAGRM","2021-06-20","Modesto Christian School","Modesto","CA","Armed security guard fired at man who attempted to run him over with vehicle","Neither"
"20210614TXEAF","2021-06-14","Eastern Hills High School","Fort Worth","TX","Man shot during robbery in school parking lot","Victims Targeted"
"20210614NCROR","2021-06-14","Rowland Middle School","Rowland","NC","6 vehicles shot in school parking lot, several individuals fired shots","null"
"20210614NCRJW","2021-06-14","R.J. Reynolds High School","Winston-Salem","NC","Police chase ended at school, man fired shots at police and fled on foot across campus","Both"
"20210613PAWIP","2021-06-13","William Dick School","Philadelphia","PA","Man shot on the school basketball court","Victims Targeted"
"20210613PAPAC","2021-06-13","Park Elementary School","Columbia","PA","Elderly man shot himself in the school parking lot","Victims Targeted"
"20210612MOMCF","2021-06-12","McCluer North High School","Florissant","MO","Teen shot and killed by another teen on school campus late at night","Victims Targeted"
"20210610CTHOW","2021-06-10","Holy Cross High School","Waterbury","CT","Adult men fired multiple shots on school baseball field during illegal arms sale","Neither"
"20210609VAWIR","2021-06-09","William Fleming High School","Roanoke","VA","Student shot in parking lot during graduation rehearsal","null"
"20210609TXNOH","2021-06-09","North Forest High School","Houston","TX","Student bystander shot during fight following graduation rehearsal","Both"
"20210608PAMUS","2021-06-08","Musser Elementary School","Sharon","PA","Teen fired multiple shots during dispute with other teens","Victims Targeted"
"20210608KSHAK","2021-06-08","Hazel Grove Elementary","Kansas City","KS","Teen walking in front of school fatally shot by drive-by","Victims Targeted"
"20210607TXEAF","2021-06-07","Eastern Hills High School","Fort Worth","TX","Teen shot in the neck during fight outside school gym during sporting event ","Victims Targeted"
"20210606VADRA","2021-06-06","Dr. Charles R. Drew Elementary School","Arlington","VA","Shots fired in parking lot during fight involving large crowd","Random Shooting"
"20210601ILLIC","2021-06-01","Lincoln Park High School","Chicago","IL","Teen shot in school parking lot, shooter fled","null"
"20210525NJPAP","2021-05-25","Paterson School 6","Paterson","NJ","Police responded for shots fired and detained teen with high-powered firearm","Random Shooting"
"20210517TXBRE","2021-05-17","Brown Middle School","El Paso","TX","Student pointed BB gun at a female student in the classroom and then fired at students in the hallway","Both"
"20210517TNAUM","2021-05-17","Aurora Collegiate Academy","Memphis","TN","Man in vehicle shot and crashed vehicle into the front of the school","Victims Targeted"
"20210517MDLOC","2021-05-17","Long Reach High School","Columbia","MD","Domestic dispute in dropoff lane, both arrested with handguns","Victims Targeted"
"20210514CASAS","2021-05-14","San Mateo High School","San Mateo","CA","Teen fatally shot inside car in the school parking lot during attempted carjacking","Victims Targeted"
"20210511NYPSB","2021-05-11","P.S. 178 Saint Clair Mckelway Grade School","Brooklyn","NY","Teen shot in front of school during fight that escalated into shooting","Victims Targeted"
"20210511CAVEL","2021-05-11","Verbum Dei High School","Los Angeles","CA","School bus windows shot by pellet gun on freeway","Random Shooting"
"20210506SCFOC","2021-05-06","Forest Lake Elementary","Columbia","SC","Army trainee jumped the fence of the fort with a rifle then hijacked school bus full of students","Random Shooting"
"20210506IDRIR","2021-05-06","Rigby Middle School","Rigby","ID","Female student pulled handgun from backpack and fired at 1 person inside the school and 2 people outside before being disarmed by a teacher","Both"
"20210505SCWAW","2021-05-05","Ware Shoals High School","Ware Shoals","SC","Student got out of his car with a handgun and then shot himself in the head","null"
"20210505MICRC","2021-05-05","Crossroads Alternative High","Cutlerville","MI","Man on scooter fired at another man on the sidewalk, then accidentally shot himself and collapsed in front of the school","Victims Targeted"
"20210502ILCHC","2021-05-02","Chicago Bulls College Prep High School","Chicago","IL","5 people shot during drive-by shooting in front of the school","Both"
"20210501MNBES","2021-05-01","Benjamin E Mays School","St. Paul","MN","Shots fired by 5 different armed men involved in a fight struck the school building","Victims Targeted"
"20210430INMAI","2021-04-30","Mary Castle Elementary School","Indianapolis","IN","Parent shot during domestic incident in school parking lot while class was in session","Victims Targeted"
"20210429NYURB","2021-04-29","Urban Dove Charter School","Brooklyn","NY","Teen fatally shot on front steps leaving the school building","Victims Targeted"
"20210429CAVIV","2021-04-29","Victor Valley High School","Victorville","CA","Teen fired into crowd during fight in school parking lot during lunch","Random Shooting"
"20210427TNLAM","2021-04-27","La Petite Academy","Memphis","TN","Following a dispute with staff about attendance, a parent fired a shot at the front door of the school","Random Shooting"
"20210427DESMS","2021-04-27","Smyrna Middle School","Smyrna","DE","Husband shot wife in school parking lot while she was waiting to pick-up child from medical appointment","Victims Targeted"
"20210426MNPLP","2021-04-26","Plymouth Middle School","Plymouth","MN","Student fired multiple shots in the school hallway attempting suicide by cop","Random Shooting"
"20210420TXHAH","2021-04-20","Harker Heights High School","Harker Heights","TX","Teen shot and killed in school parking lot","Victims Targeted"
"20210418OHWED","2021-04-18","Westwood Elementary School","Dayton","OH","Two teens found shot inside a vehicle near the school playground","Victims Targeted"
"20210413TNMAC","2021-04-13","Maury County Public Schools Bus No. 50","Columbia","TN","Woman was upset school bus was late and pulled gun during argument with bus driver","Victims Targeted"
"20210412TNAUK","2021-04-12","Austin-East Magnet High School","Knoxville","TN","Shots fired during struggle with police in school bathroom by armed student","Victims Targeted"
"20210412CASAS","2021-04-12","San Diego High School","San Diego","CA","Hostage standoff inside dumpster near the football field","Random Shooting"
"20210411INBIH","2021-04-11","Bishop Noll Institute","Hammond","IN","Adult male shot adult female in the school parking lot","Victims Targeted"
"20210407ILPEP","2021-04-07","Peoria High School","Peoria","IL","Student pointed a gun at another student during a fight inside the school","Victims Targeted"
"20210406ILBAC","2021-04-06","Back of the Yards College Prep High School","Chicago","IL","Window of the school shot by BB during classes","Neither"
"20210401OKCLC","2021-04-01","Cleveland High School","Cleveland","OK","5 windows shot and broken on moving school bus with students returning from field trip","Neither"
"20210401ALSES","2021-04-01","Selma High School","Selma","AL","Student fired one shot at another student during a fight in the cafeteria","Victims Targeted"
"20210327MAPEC","2021-03-27","Peabody Elementary School","Cambridge","MA","Man found fatally shot next to basketball court","Victims Targeted"
"20210326MOCAS","2021-03-26","Castlio Elementary School","St Charles","MO","Suicidal man pointed gun at officer who then shot him","Victims Targeted"
"20210324ORFOS","2021-03-24","Four Corners Elementary School","Salem","OR","Two teens shot during drug deal in school parking lot","Victims Targeted"
"20210319WVSPM","2021-03-19","Spring Mills Middle School","Martinsburg","WV","Two teens fired BB guns at two school buses full of students leaving the school","Random Shooting"
"20210318KYGRL","2021-03-18","Greenwood Elementary School","Louisville","KY","Adult male pointed gun and threatened school staff who did not allow him to enter","Neither"
"20210315INMEM","2021-03-15","Merrillville High School","Merrillville","IN","Two men shot during planned fight in the school parking lot","Victims Targeted"
"20210313TXLEA","2021-03-13","Lee Elementary School","Abilene","TX","Semi-pro football player shot by fan during game held at elementary school field","Victims Targeted"
"20210311OHCIC","2021-03-11","Cincinnati College Preparatory Academy","Cincinnati","OH","Person in vehicle shot and crashed in front of school","Victims Targeted"
"20210309TNSAK","2021-03-09","Sarah Moore Greene Elementary","Knoxville","TN","Shots fired from a vehicle in the school parking lot","Victims Targeted"
"20210309OHBIC","2021-03-09","Bishop Hartley High School","Columbus","OH","Bullet fired from outside the school went through the gym wall with 59 students inside",""
"20210308SCEDC","2021-03-08","Chesterfield Elementary School","Chesterfield","SC","Adult woman shot her son-in-law in the leg in the school parking lot","Victims Targeted"
"20210301ARWAP","2021-03-01","Watson Chapel Junior High","Pine Bluff","AR","Student shot by another student in the hallway between classes","Victims Targeted"
"20210226LAGEN","2021-02-26","George Washington Carver High School","New Orleans","LA","Police officer shot while escorting person out of high school basketball game","Random Shooting"
"20210224WAGAY","2021-02-24","Garfield Elementary School","Yakima","WA","Teen shot in the parking lot of the school, shooter fled and crashed vehicle into school bus","Victims Targeted"
"20210222CAHOV","2021-02-22","Houston Elementary School","Visalia","CA","Man shot in front of the school",""
"20210219ILLIR","2021-02-19","Lincoln Middle School","Rockford","IL","Man who was fatally shot found inside vehicle on the front yard of the school","Victims Targeted"
"20210217TNKNK","2021-02-17","Christenberry Elementary School","Knoxville","TN","School bus struck by bullet",""
"20210216NCTHS","2021-02-16","Third Creek Elementary School","Statesville","NC","Student shot another student with a pellet gun on the school bus",""
"20210214MNROM","2021-02-14","Roosevelt High School","Minneapolis","MN","Two adults found fatally shot inside car in front of the school","Victims Targeted"
"20210210TXFOF","2021-02-10","Forest Oak Middle School","Fort Worth","TX","Adult male shot to death in vehicle in front of school","Victims Targeted"
"20210210NJSCP","2021-02-10","School Number 15","Paterson","NJ","Woman shot multiple times next to school","Victims Targeted"
"20210210LASTS","2021-02-10","St. Martinville Head Start Center","St. Martinville","LA","Bullet from drive-by struck plate child was holding in cafeteria","Both"
"20210208MISCG","2021-02-08","School Bus","Grand Rapids","MI","School bus struck by bullet fired from another vehicle","Victims Targeted"
"20210205MDBEM","2021-02-05","Benjamin Stoddert Middle School","Marlow Heights","MD","Man shot near football field behind the school","Victims Targeted"
"20210201MIMUD","2021-02-01","Muslim American Youth Academy","Dearborn","MI","Shooting inside school gym during dispute between two groups","Victims Targeted"
"20210127MSHAH","2021-01-27","Hattiesburg High School","Hattiesburg","MS","Teen pointed gun at school bus and then fired shots into the air near the school","Random Shooting"
"20210127FLHOH","2021-01-27","Holly Hill School","Holly Hill","FL","Student shot with airsoft gun in locker room","Victims Targeted"
"20210121OKLOG","2021-01-21","Lower Elementary School","Grove","OK","Parent shot self inside car while in pickup line at school","Random Shooting"
"20210121OHEAC","2021-01-21","Eastmoor Academy","Columbus","OH","Man shot while watching fight in school parking lot","Both"
"20210114MDHIW","2021-01-14","Highland Elementary School","Wheaton","MD","Man found shot and killed inside vehicle in school parking lot","Victims Targeted"
"20210110ILSOS","2021-01-10","Southeast High School","Springfield","IL","Two women in vehicle shot in school parking lot","Victims Targeted"
"20210104NYPEJ","2021-01-04","Perth Bible Church and Christian Academy","Johnstown","NY","Animal control officer fired personal handgun at animal on school property while school was in session","Neither"
"20201229WAROS","2020-12-29","Rogers High School","Spokane","WA","Two teens shot in school parking lot","Victims Targeted"
"20201225FLYOP","2020-12-25","Youth Under Construction Youth Center","Pompano Beach","FL","Shots fired in the parking lot during school holiday party",""
"20201216ILDUC","2020-12-16","Dubois Elementary School","Chicago","IL","Man fatally shot in parking lot of school","Victims Targeted"
"20201211VATAY","2020-12-11","Tabb Middle School","Yorktown","VA","Shooting on school basketball court",""
"20201207ILEAC","2020-12-06","East Chicago Academy of Visual and Performing Arts","Chicago","IL","Man found dead in front of school from gunshot wound",""
"20201125KSABG","2020-11-25","Abe Hubert Elementary School","Garden City","KS","Teen shot in parking lot of school","Victims Targeted"
"20201124NCHEH","2020-11-25","Hendersonville Middle School","Hendersonville","NC","Student fired single shot at another student in the school gym","Victims Targeted"
"20201117TXWEW","2020-11-17","Weatherford High School","Weatherford","TX","Teen with handgun shot himself when confronted by police","Victims Targeted"
"20201117MTGRG","2020-11-17","Great Falls High School","Great Falls","MT","Teen fired BB gun from vehicle breaking multiple windows","Neither"
"20201116TNWIM","2020-11-16","Winridge Elementary School","Memphis","TN","Man shot at woman with two children following robbery","Victims Targeted"
"20201113NCLIL","2020-11-13","Lincoln Elementary School","Leland","NC","Student struck by shot fired from long distance","Random Shooting"
"20201112PANAH","2020-11-12","Nativity School of Harrisburg","Harrisburg","PA","Teen shot and killed in school parking lot",""
"20201112CACEU","2020-11-12","Cesar Chavez Middle School","Union City","CA","Man in vehicle shot in school parking lot, fled and crashed nearby","Victims Targeted"
"20201109TXCOH","2020-11-09","Collins Elementary School","Houston","TX","Man found fatally shot in school parking lot","Victims Targeted"
"20201109CABAL","2020-11-09","Baldwin Elementary School","La Puente","CA","Janitor found man dead from gunshot wound next to the school","Victims Targeted"
"20201108INTET","2020-11-08","Terre Haute South Vigo High School","Terre Haute","IN","Shots fired in the school parking lot","Victims Targeted"
"20201106AZKHT","2020-11-06","Khalsa Montessori Charter","Tuscon","AZ","Man fired shots at multiple vehicles in the school parking lot during standoff with police","Neither"
"20201102COERE","2020-11-02","Erie High School","Erie","CO","Bullet shot at cafeteria window","Neither"
"20201029FLLAM","2020-10-29","Lawton Chiles Middle School","Miramar","FL","Two men fatally shot in school parking lot","Victims Targeted"
"20201028NYROR","2020-10-28","Rochester Prep Charter School","Rochester","NY","School building struck by shot fired during drive-by","Victims Targeted"
"20201026GARIR","2020-10-26","Riverdale High School","Riverdale","GA","Man shot and killed in school parking lot","Victims Targeted"
"20201024CTSTS","2020-10-24","Stillwater Elementary School","Stamford","CT","Shots fired next to school building",""
"20201020ARJAP","2020-10-20","Jack Robey Junior High School","Pine Bluff","AR","Teen found shot and killed in vehicle in the school parking lot","Victims Targeted"
"20201018KYSEL","2020-10-18","Seneca High School","Louisville","KY","Three teens shot in school parking lot",""
"20201014WAWAS","2020-10-14","Washington Elementary School","Sunnyside","WA","Shots from drive-by shooting struck occupied school building","Victims Targeted"
"20201014PABRB","2020-10-14","Bradford Area School District","Bradford","PA","School bus window behind driver's head struck by BB","Neither"
"20201013RIRHP","2020-10-13","Rhode Island School for the Deaf ","Providence","RI","3 adult men shot in the school parking lot","Victims Targeted"
"20201012TXNOD","2020-10-12","North Dallas High School","Dallas","TX","Shots fired during dispute in school parking lot","Victims Targeted"
"20201012MNSHS","2020-10-12","Shakopee High School","Shakopee","MN","Shots fired at field during high school baseball practice","Neither"
"20201009FLJEJ","2020-10-09","Jean Ribault High School","Jacksonville","FL","Student shot in the arm by another student","Random Shooting"
"20201005OKSOM","2020-10-05","Southridge Junior High","Moore","OK","Student with airsoft gun fired multiple shots at other students on school bus",""
"20201005ARKIH","2020-10-05","KIPP Delta Elementary School","West Helena","AR","Two men shot during domestic dispute in front of school during dismissal","Victims Targeted"
"20201004NEADL","2020-10-04","Adam’s Elementary School","Lincoln","NE","Police found shell casings near the elementary school playground","Neither"
"20201002PAMAE","2020-10-02","Marple-Newtown School Bus","Exton","PA","Multiple school bus windows shot while bus was driving on city street","Neither"
"20200930CADYL","2020-09-30","Dymally High School","Los Angeles","CA","Two men were shot in front of the school","Victims Targeted"
"20200928CTEAN","2020-09-28","East Rock Community Magnet School","New Haven","CT","Man shot next to school building","Victims Targeted"
"20200925NJHAH","2020-09-25","Haledon Public School","Haledon","NJ","Shooting victim found beside school building",""
"20200925ILROR","2020-09-25","Rock Island Academy","Rock Island","IL","Armed man fled from police into the school where he was arrested",""
"20200924ILMCS","2020-09-24","McClernand Elementary School","Springfield","IL","Man fired shot that broke window then walked past classroom with BB gun","Neither"
"20200924CAWAC","2020-09-24","Walt Hanline Middle School","Ceres","CA","Bullets struck classroom and gym occupied by teachers","Neither"
"20200923PAWIW","2020-09-23","William Tennent High School","Warminster","PA","Shooting in parking lot during sports practice","Victims Targeted"
"20200923FLHIJ","2020-09-23","Highlands Middle School","Jacksonville","FL","Teen shot BB breaking window of occupied school bus","Neither"
"20200921CAPLP","2020-09-21","Pleasant Hill Elementary School","Pleasant Hill","CA","Man attempted suicide behind school after firing at officers during pursuit","Neither"
"20200920UTLIS","2020-09-20","Liberty Elementary School","Salt Lake City","UT","8 shots fired on school soccer field",""
"20200919CAKRS","2020-09-19","Krouzian Zekarian Vasbouragan Armenian School","San Francisco","CA","School sign damaged by gunshot","Neither"
"20200918KYWIL","2020-09-18","Winburn Middle School","Lexington","KY","Man shot near the school basketball court",""
"20200917ORDRP","2020-09-17","Dr. Martin Luther King Jr. Elementary School","Portland","OR","Victim shot near school tennis court",""
"20200917OHELA","2020-09-17","Ellet High School","Akron","OH","Teen shot another teen and bystander during dispute at football game","Both"
"20200916WAARG","2020-09-15","Artondale Elementary School","Gig Harbor","WA","Neighbor shot man stealing construction materials from the school","Victims Targeted"
"20200916CASOS","2020-09-16","Sonora High School","Sonora","CA","17 year-old male killed in the school parking lot","Victims Targeted"
"20200915UTVIB","2020-09-15","Viewmont High School","Bountiful","UT","Police shot a man armed with a rifle and bow in front of the school","Neither"
