"Incident_ID","Date","School","City","State","Summary","Targets"
"20220424MOHAF","2022-04-24","Hazelwood Central High School","Florissant","MO","Two teens fatally shot cab driver in school parking lot during robbery","Victims Targeted"
"20220422ORHOS","2022-04-22","Houck Middle School","Salem","OR","Teen fired shots near school","null"
"20220422DCEDW","2022-04-22","Edmund Burke School","Washington","DC","Gunman fired at school from nearby apartment building","Random Shooting"
"20220422CAMOR","2022-04-22","Mountain View Middle School","Redding","CA","Shots fired at adult men on the baseball field behind the school","Random Shooting"
"20220421NDMOM","2022-04-21","Mott-Regent High School","Mott","ND","Man fatally shot by police when he refused to leave the school","null"
"20220416IAMED","2022-04-16","Meredith Middle School","Des Moines","IA","Person shot in front of the school","null"
"20220415VAGAW","2022-04-15","Gar-Field High School","Woodbridge","VA","Teenage girl shot in the leg during carnival held at school","Both"
"20220414MSNEP","2022-04-14","Neshoba Central High School","Philadelphia","MS","3 teens fired high powered pellet guns at football team during practice","Random Shooting"
"20220413MISHS","2022-04-13","Shelters Elementary School","Southgate","MI","Student shot another student with a BB gun during recess","Victims Targeted"
"20220411ARPIP","2022-04-11","Pine Bluff High School","Pine Bluff","AR","Officer assigned school heard gunshots in parking lot","null"
"20220410MALYL","2022-04-10","Lynn English High School","Lynn","MA","Man fatally shot near the loading dock behind the school","Victims Targeted"
"20220406WVRIR","2022-04-06","Ripley Middle School","Ripley","WV","Student brandished gun on school bus, subdued by other students, planned execution of student","Victims Targeted"
"20220406WASTM","2022-04-06","St. Monica Catholic School","Mercer Island","WA","Pellet gun fired from vehicle at students on the playground","Random Shooting"
"20220406ORROP","2022-04-06","Roosevelt High School","Portland","OR","Person shot in school parking lot","Victims Targeted"
"20220405PAERE","2022-04-05","Erie High School","Erie","PA","Shot shot another student twice in the hallway between classes","Victims Targeted"
"20220403INBLB","2022-04-03","Bloomington High School South","Bloomington","IN","Three teens shot at, one injured, in school parking lot","Victims Targeted"
"20220331SCTAG","2022-03-31","Tanglewood Middle School","Greenville","SC","Student fatally shot another student in the hallway while classes were changing","Victims Targeted"
"20220331PAACP","2022-03-31"," West Philadelphia Achievement Charter Elementary School","Philadelphia","PA","Gun inside a 8-year-old students backpack discharged in school courtyard","Neither"
"20220330GABOA","2022-03-30","Booker T Washington High School","Atlanta","GA","Mother brandished gun during fight between students, shot by SRO","Neither"
"20220330AZKIK","2022-03-30","Kingman High School","Kingman","AZ","Student shot in the leg on the school bus","Neither"
"20220329VALUR","2022-03-29","Lucy Addison Middle School","Roanoke","VA","Student fired gun in bathroom","Neither"
"20220329NVWEL","2022-03-29","Western High School","Las Vegas","NV","SRO fired at vehicle that struck student in parking lot","null"
"20220328TXNOF","2022-03-28","North Crowley High School","Fort Worth","TX","Shots fired from a vehicle in the student parking lot","null"
"20220328NCOAC","2022-03-28","Oakdale Elementary School","Charlotte","NC","Teen shot during attempted robbery in school parking lot","Victims Targeted"
"20220325UTHIS","2022-03-25","Highland High School","Salt Lake City","UT","Teens fired pellet gun at vehicle for TikTok challenge, real bullets fired back","Random Shooting"
"20220325TXROR","2022-03-25","Royse City High School","Royse City","TX","Active shooter response to school for 5 students firing pellet guns for TikTok challenge","Random Shooting"
"20220325TNBRM","2022-03-25","Brighton High School","Memphis","TN","Shots fired during candlelight vigil for former student","Both"
"20220324VARIW","2022-03-24","Rippon Middle School","Woodbridge","VA","Man in ski mask with rifle and shotgun fired shot outside of school, arrested by SRO","Neither"
"20220322VAJAR","2022-03-22","James Madison Middle School","Roanoke","VA","School bus tire shot while driving students home after school","Victims Targeted"
"20220322TXWOD","2022-03-22","Woodrow Wilson High School","Dallas","TX","Shots fired at dismissal during fight","Victims Targeted"
"20220322FLNEN","2022-03-22","New Smyrna Beach High School","New Smyrna Beach","FL","Student shot school employee multiple times in the face with pellet gun","Victims Targeted"
"20220321MSLEP","2022-03-21","Leap of Faith Middle School","Pascagoula","MS","Shots fired outside school, gunman broken into school building fleeing police","Victims Targeted"
"20220321MIMAK","2022-03-21","Mahone Middle School","Kenosha","WI","Parent pointed a gun and threatened another parent in the pick-up line","Victims Targeted"
"20220321AZDES","2022-03-21","Desert Canyon Middle School","Scottsdale","AZ","Man fired shots on soccer field, school went on lockdown","Neither"
"20220319ALCEL","2022-03-19","Central Baldwin Middle School","Loxley","AL","Shots fired during robbery in parking lot","Victims Targeted"
"20220318RICEP","2022-03-18","null","Providence","RI","Students fired pellet gun in parking lot, dragged staff member with vehicle","Random Shooting"
"20220318ILBAB","2022-03-18","Barrington High School","Barrington","IL","Two teens shot with pellet guns walking into school","Victims Targeted"
"20220317AKREW","2022-03-17","Redington Jr/Sr High School","Wasilla","AK","Student fired shot at dismissal, detained by school staff","null"
"20220316CALOR","2022-03-16","Loma Vista Middle School","Riverside","CA","Student fired shot while showing off gun inside school","Neither"
"20220315WAEIY","2022-03-15","Eisenhower High School","Yakima","WA","Two students shot in parking lot at dismissal","Both"
"20220315MDPAB","2022-03-15","Paul Lawrence Dunbar High School","Baltimore","MD","Student shot during dispute at dismissal","Victims Targeted"
"20220315MATEB","2022-03-15","Tech Academy Boston","Boston","MA","Shots fired at a group of students and staff outside school","Both"
"20220315GAFOF","2022-03-15","Forest Park Middle School","Forest Park","GA","Shots fired when school police confronted intruder","null"
"20220314CAKRP","2022-03-14","Kraemer Middle School","Placentia","CA","School administrator commit suicide with firearm in office during school","Victims Targeted"
